#dex   Species   L   HP   Attack  Def.   Speed Sp.Atk Sp.Def
#076 Golem         31/ 72 31/ 80 31/ 80 31/ 72 31/ 72 31/ 72
#077 Ponyta      * 31/104 31/112 31/104 31/112 31/104 31/104
#078 Rapidash      31/ 56 31/ 64 31/ 64 31/ 56 31/ 56  6/156
#079 Slowpoke    * 31/160 31/160 31/168 31/168 31/160 31/160
#080 Slowbro     * 31/ 88 31/ 96 31/ 88 31/ 96 31/ 88 31/ 88
#081 Magnemite   * 31/160 31/160 31/168 31/168 31/160 31/160
#082 Magneton      31/ 72 31/ 80 31/ 80 31/ 72 31/ 72 31/ 72
#083 Farfetch'd  * 31/132 31/140 31/132 31/132 31/132 31/132
#084 Doduo       * 31/160 31/160 31/168 31/168 31/160 31/160
#085 Dodrio        31/ 72 31/ 80 31/ 80 31/ 72 31/ 72 31/ 72
#086 Seel        * 31/160 31/160 31/168 31/168 31/160 31/160
#087 Dewgong       31/ 72 31/ 80 31/ 80 31/ 72 31/ 72 31/ 72
#088 Grimer      * 31/160 31/160 31/168 31/168 31/160 31/160
#089 Muk           31/ 56 31/ 64 31/ 64 31/ 56 31/ 56  6/156
#090 Shellder    * 31/160 31/160 31/168 31/168 31/160 31/160
#091 Cloyster      31/ 48 31/ 48 31/ 48 31/ 40  4/156  4/156
#092 Gastly      * 31/160 31/160 31/168 31/168 31/160 31/160
#093 Haunter     * 31/104 31/112 31/104 31/112 31/104 31/104
#094 Gengar        31/ 56 31/ 64 31/ 64 31/ 56 31/ 56  6/156
#095 Onix        * 31/132 31/140 31/132 31/132 31/132 31/132
#096 Drowzee     * 31/160 31/160 31/168 31/168 31/160 31/160
#097 Hypno         31/ 72 31/ 80 31/ 80 31/ 72 31/ 72 31/ 72
#098 Krabby      * 31/160 31/160 31/168 31/168 31/160 31/160
#099 Kingler       31/ 72 31/ 80 31/ 80 31/ 72 31/ 72 31/ 72
#100 Voltorb     * 31/160 31/160 31/168 31/168 31/160 31/160
#101 Electrode     31/ 72 31/ 80 31/ 80 31/ 72 31/ 72 31/ 72
#102 Exeggcute   * 31/160 31/160 31/168 31/168 31/160 31/160
#103 Exeggutor     31/ 48 31/ 48 31/ 48 31/ 40  4/156  4/156
#104 Cubone      * 31/160 31/160 31/168 31/168 31/160 31/160
#105 Marowak     * 31/104 31/112 31/104 31/112 31/104 31/104
#106 Hitmonlee   * 31/ 88 31/ 96 31/ 88 31/ 96 31/ 88 31/ 88
#107 Hitmonchan  * 31/ 88 31/ 96 31/ 88 31/ 96 31/ 88 31/ 88
#108 Lickitung   * 31/132 31/140 31/132 31/132 31/132 31/132
#109 Koffing     * 31/160 31/160 31/168 31/168 31/160 31/160
#110 Weezing       31/ 72 31/ 80 31/ 80 31/ 72 31/ 72 31/ 72
#111 Rhyhorn     * 31/160 31/160 31/168 31/168 31/160 31/160
#112 Rhydon        31/ 72 31/ 80 31/ 80 31/ 72 31/ 72 31/ 72
#113 Chansey       31/ 72 31/ 80 31/ 80 31/ 72 31/ 72 31/ 72
#114 Tangela     * 31/104 31/112 31/104 31/112 31/104 31/104
#115 Kangaskhan    31/ 72 31/ 80 31/ 80 31/ 72 31/ 72 31/ 72
#116 Horsea      * 31/188 31/188 31/196 31/188 31/188 31/188
#117 Seadra      * 31/104 31/112 31/104 31/112 31/104 31/104
#118 Goldeen     * 31/160 31/160 31/168 31/168 31/160 31/160
#119 Seaking     * 31/ 88 31/ 96 31/ 88 31/ 96 31/ 88 31/ 88
#120 Staryu      * 31/160 31/160 31/168 31/168 31/160 31/160
#121 Starmie       31/ 48 31/ 48 31/ 48 31/ 40  4/156  4/156
#122 Mr. Mime      31/ 72 31/ 80 31/ 80 31/ 72 31/ 72 31/ 72
#123 Scyther       31/ 56 31/ 64 31/ 64 31/ 56 31/ 56  6/156
#124 Jynx          31/ 72 31/ 80 31/ 80 31/ 72 31/ 72 31/ 72
#125 Electabuzz    31/ 72 31/ 80 31/ 80 31/ 72 31/ 72 31/ 72
#126 Magmar        31/ 72 31/ 80 31/ 80 31/ 72 31/ 72 31/ 72
#127 Pinsir        31/ 56 31/ 64 31/ 64 31/ 56 31/ 56  6/156
#128 Tauros        31/ 72 31/ 80 31/ 80 31/ 72 31/ 72 31/ 72
#129 Magikarp    * 31/212 31/212 31/212 31/220 31/228 31/228
#130 Gyarados      31/ 48 31/ 48 31/ 48 31/ 40  4/156  4/156
#131 Lapras        31/ 48 31/ 48 31/ 48 31/ 40  4/156  4/156
#132 Ditto       * 29/168 30/164 31/168 31/168 31/160 30/164
#133 Eevee       * 31/160 31/160 31/168 31/168 31/160 31/160
#134 Vaporeon      31/ 48 31/ 48 31/ 48 31/ 40  4/156  4/156
#135 Jolteon       31/ 48 31/ 48 31/ 48 31/ 40  4/156  4/156
#136 Flareon       31/ 48 31/ 48 31/ 48 31/ 40  4/156  4/156
#137 Porygon     * 31/132 31/140 31/132 31/132 31/132 31/132
#138 Omanyte     * 31/132 31/140 31/132 31/132 31/132 31/132
#139 Omastar       31/ 72 31/ 80 31/ 80 31/ 72 31/ 72 31/ 72
#140 Kabuto      * 31/132 31/140 31/132 31/132 31/132 31/132
#141 Kabutops      31/ 72 31/ 80 31/ 80 31/ 72 31/ 72 31/ 72
#142 Aerodactyl    31/ 32 31/ 32 31/ 32 31/ 24  4/140  4/140
#143 Snorlax       31/ 48 31/ 48 31/ 48 31/ 40  4/156  4/156
#144 Articuno      30/  0 30/  0  0/120  0/120  0/120  0/120
#145 Zapdos        30/  0 30/  0  0/120  0/120  0/120  0/120
#146 Moltres       30/  0 30/  0  0/120  0/120  0/120  0/120
#147 Dratini     * 31/160 31/160 31/168 31/168 31/160 31/160
#148 Dragonair   * 31/104 31/112 31/104 31/112 31/104 31/104
#149 Dragonite     31/  8 31/  8 31/  8  0/132  0/132  0/132
#151 Mew            0/  0  0/  0  0/  0  0/  0  0/  0  0/  0
#152 Chikorita   * 31/160 31/160 31/168 31/168 31/160 31/160
#153 Bayleef     * 31/104 31/112 31/104 31/112 31/104 31/104
#154 Meganium      31/ 48 31/ 48 31/ 48 31/ 40  4/156  4/156
#155 Cyndaquil   * 31/160 31/160 31/168 31/168 31/160 31/160
#156 Quilava     * 31/104 31/112 31/104 31/112 31/104 31/104
#157 Typhlosion    31/ 48 31/ 48 31/ 48 31/ 40  4/156  4/156
#158 Totodile    * 31/160 31/160 31/168 31/168 31/160 31/160
#159 Croconaw    * 31/104 31/112 31/104 31/112 31/104 31/104
#160 Feraligatr    31/ 48 31/ 48 31/ 48 31/ 40  4/156  4/156
#161 Sentret     * 31/212 31/212 31/212 31/220 31/228 31/228
#162 Furret      * 31/104 31/112 31/104 31/112 31/104 31/104
#163 Hoothoot    * 31/188 31/188 31/196 31/188 31/188 31/188
#164 Noctowl     * 31/104 31/112 31/104 31/112 31/104 31/104
#165 Ledyba      * 31/188 31/188 31/196 31/188 31/188 31/188
#166 Ledian      * 31/132 31/140 31/132 31/132 31/132 31/132
#167 Spinarak    * 31/212 31/212 31/212 31/220 31/228 31/228
#168 Ariados     * 31/132 31/140 31/132 31/132 31/132 31/132
#169 Crobat        31/ 48 31/ 48 31/ 48 31/ 40  4/156  4/156
#170 Chinchou    * 31/160 31/160 31/168 31/168 31/160 31/160
#171 Lanturn       31/ 72 31/ 80 31/ 80 31/ 72 31/ 72 31/ 72
#172 Pichu       * 31/212 31/212 31/212 31/220 31/228 31/228
#173 Cleffa      * 31/212 31/212 31/212 31/220 31/228 31/228
#174 Igglybuff   * 31/212 31/212 31/212 31/220 31/228 31/228
#175 Togepi      * 31/212 31/212 31/212 31/220 31/228 31/228
#176 Togetic     * 31/104 31/112 31/104 31/112 31/104 31/104
#177 Natu        * 31/160 31/160 31/168 31/168 31/160 31/160
#178 Xatu          31/ 72 31/ 80 31/ 80 31/ 72 31/ 72 31/ 72
#179 Mareep      * 31/188 31/188 31/196 31/188 31/188 31/188
#180 Flaaffy     * 31/132 31/140 31/132 31/132 31/132 31/132
#181 Ampharos      31/ 56 31/ 64 31/ 64 31/ 56 31/ 56  6/156
#182 Bellossom     31/ 72 31/ 80 31/ 80 31/ 72 31/ 72 31/ 72
#183 Marill      * 31/212 31/212 31/212 31/220 31/228 31/228
#184 Azumarill   * 31/104 31/112 31/104 31/112 31/104 31/104
#185 Sudowoodo   * 31/104 31/112 31/104 31/112 31/104 31/104
#186 Politoed      31/ 56 31/ 64 31/ 64 31/ 56 31/ 56  6/156
#187 Hoppip      * 31/212 31/212 31/212 31/220 31/228 31/228
#188 Skiploom    * 31/160 31/160 31/168 31/168 31/160 31/160
#189 Jumpluff    * 31/ 88 31/ 96 31/ 88 31/ 96 31/ 88 31/ 88
#190 Aipom       * 31/132 31/140 31/132 31/132 31/132 31/132
#191 Sunkern     * 31/212 31/212 31/212 31/220 31/228 31/228
#192 Sunflora    * 31/104 31/112 31/104 31/112 31/104 31/104
#193 Yanma       * 31/132 31/140 31/132 31/132 31/132 31/132
#194 Wooper      * 31/212 31/212 31/212 31/220 31/228 31/228
#195 Quagsire    * 31/104 31/112 31/104 31/112 31/104 31/104
#196 Espeon        31/ 48 31/ 48 31/ 48 31/ 40  4/156  4/156
#197 Umbreon       31/ 48 31/ 48 31/ 48 31/ 40  4/156  4/156
#198 Murkrow     * 31/104 31/112 31/104 31/112 31/104 31/104
#199 Slowking      31/ 72 31/ 80 31/ 80 31/ 72 31/ 72 31/ 72
#200 Misdreavus  * 31/104 31/112 31/104 31/112 31/104 31/104
#201 Unown       * 30/156 31/200 31/192 31/192 31/200 31/200
#202 Wobbuffet   * 31/104 31/112 31/104 31/112 31/104 31/104
#203 Girafarig     31/ 72 31/ 80 31/ 80 31/ 72 31/ 72 31/ 72
#204 Pineco      * 31/188 31/188 31/196 31/188 31/188 31/188
#205 Forretress    31/ 72 31/ 80 31/ 80 31/ 72 31/ 72 31/ 72
#206 Dunsparce   * 31/104 31/112 31/104 31/112 31/104 31/104
#207 Gligar      * 31/104 31/112 31/104 31/112 31/104 31/104
#208 Steelix       31/ 48 31/ 48 31/ 48 31/ 40  4/156  4/156
#209 Snubbull    * 31/188 31/188 31/196 31/188 31/188 31/188
#210 Granbull    * 31/ 88 31/ 96 31/ 88 31/ 96 31/ 88 31/ 88
#211 Qwilfish    * 31/104 31/112 31/104 31/112 31/104 31/104
#212 Scizor        31/ 56 31/ 64 31/ 64 31/ 56 31/ 56  6/156
#213 Shuckle     * 31/104 31/112 31/104 31/112 31/104 31/104
#214 Heracross     31/ 48 31/ 48 31/ 48 31/ 40  4/156  4/156
#215 Sneasel     * 31/104 31/112 31/104 31/112 31/104 31/104
#216 Teddiursa   * 31/160 31/160 31/168 31/168 31/160 31/160
#217 Ursaring      31/ 56 31/ 64 31/ 64 31/ 56 31/ 56  6/156
#218 Slugma      * 31/212 31/212 31/212 31/220 31/228 31/228
#219 Magcargo    * 31/104 31/112 31/104 31/112 31/104 31/104
#220 Swinub      * 31/212 31/212 31/212 31/220 31/228 31/228
#221 Piloswine   * 31/ 88 31/ 96 31/ 88 31/ 96 31/ 88 31/ 88
#222 Corsola     * 31/132 31/140 31/132 31/132 31/132 31/132
#223 Remoraid    * 31/188 31/188 31/196 31/188 31/188 31/188
#224 Octillery     31/ 72 31/ 80 31/ 80 31/ 72 31/ 72 31/ 72
#225 Delibird    * 31/160 31/160 31/168 31/168 31/160 31/160
#226 Mantine       31/ 72 31/ 80 31/ 80 31/ 72 31/ 72 31/ 72
#227 Skarmory      31/ 72 31/ 80 31/ 80 31/ 72 31/ 72 31/ 72
#228 Houndour    * 31/160 31/160 31/168 31/168 31/160 31/160
#229 Houndoom      31/ 56 31/ 64 31/ 64 31/ 56 31/ 56  6/156
#230 Kingdra       31/ 48 31/ 48 31/ 48 31/ 40  4/156  4/156
#231 Phanpy      * 31/160 31/160 31/168 31/168 31/160 31/160
#232 Donphan       31/ 56 31/ 64 31/ 64 31/ 56 31/ 56  6/156
#233 Porygon2      31/ 48 31/ 48 31/ 48 31/ 40  4/156  4/156
#234 Stantler      31/ 72 31/ 80 31/ 80 31/ 72 31/ 72 31/ 72
#235 Smeargle    * 31/212 31/212 31/212 31/220 31/228 31/228
#236 Tyrogue     * 31/212 31/212 31/212 31/220 31/228 31/228
#237 Hitmontop   * 31/168 31/176 31/168 31/176 31/168 31/168
#238 Smoochum    * 31/160 31/160 31/168 31/168 31/160 31/160
#239 Elekid      * 31/132 31/140 31/132 31/132 31/132 31/132
#240 Magby       * 31/132 31/140 31/132 31/132 31/132 31/132
#241 Miltank       31/ 72 31/ 80 31/ 80 31/ 72 31/ 72 31/ 72
#242 Blissey       31/ 48 31/ 48 31/ 48 31/ 40  4/156  4/156
#243 Raikou        31/  8 31/  8 31/  8  0/132  0/132  0/132
#244 Entei         30/  0 30/  0  0/120  0/120  0/120  0/120
#245 Suicune       31/  8 31/  8 31/  8  0/132  0/132  0/132
#246 Larvitar    * 31/188 31/188 31/196 31/188 31/188 31/188
#247 Pupitar     * 31/104 31/112 31/104 31/112 31/104 31/104
#248 Tyranitar     31/  8 31/  8 31/  8  0/132  0/132  0/132
#251 Celebi         0/  0  0/  0  0/  0  0/  0  0/  0  0/  0
